Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUS_MINUS
TyTy Washington Jr.,LAC,24,1,1,0,9.9,3,1,3,33.3,1,2,50.0,0,0,0.0,0,1,1,2,0,0,1,0,10,0,0,2
Colby Jones,DET,23,1,0,1,6.8,2,1,3,33.3,0,2,0.0,0,0,0.0,0,4,4,2,0,0,0,1,10,0,0,12
Daeqwon Plowden,SAC,27,1,0,1,14.0,2,1,5,20.0,0,3,0.0,0,0,0.0,2,0,2,0,0,0,0,0,4,0,0,-16
Hunter Dickinson,NOP,25,1,0,1,4.7,2,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,0,2,0,1,2,3,0,0,-12
Oscar Tshiebwe,UTA,26,1,0,1,14.8,2,1,4,25.0,0,0,0.0,0,1,0.0,2,4,6,1,0,1,0,2,14,0,0,-3
Jahmyl Telfort,LAC,24,8,2,6,32.0,1,0,4,0.0,0,4,0.0,1,4,25.0,0,3,3,1,1,1,0,5,8,0,0,-7
Chris Mañon,LAL,24,4,1,3,13.7,0,0,1,0.0,0,1,0.0,0,0,0.0,1,2,3,0,0,1,2,3,13,0,0,7
Chucky Hepburn,TOR,22,2,0,2,13.2,0,0,6,0.0,0,5,0.0,0,0,0.0,0,1,1,2,1,1,0,2,6,0,0,-16
Isaiah Crawford,HOU,24,2,1,1,4.6,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2
Mo Bamba,TOR,27,2,2,0,5.8,0,0,2,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,2,5,0,0,-9
Noa Essengue,CHI,19,2,1,1,6.0,0,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,1,0,1,3,0,0,-15
Sharife Cooper,WAS,24,4,1,3,9.9,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,1,-1,0,0,-13
Tosan Evbuomwan,NYK,24,5,4,1,7.7,0,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,1,2,0,0,-8
Vladislav Goldin,MIA,24,1,0,1,0.9,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,0,0,6
